title,price,weight,image_url
kitkat 2 finger Cookies & cream,210,,https://assets.indolj.io/upload/1768309564-kitkat 2 finger Cookies  cream.jfif?q=10
Reeses 2 peanut Butter Cups ,550,42g,https://assets.indolj.io/upload/1732512433-KitKat Hazelnut Miniatures Pouch.jpeg?q=10
Cadbury Dairy Milk Roast Almond Bar ,230,38g,https://assets.indolj.io/upload/1750128183-Cadbury Dairy Milk Roast Almond Bar 38g.webp?q=10
Nestle Kitkat,2450,8x20.7g 165.6g,https://assets.indolj.io/upload/1761910985-Nestle Kitkat 8x20.7g 165.6g.jpg?q=10
Cadbury Dairy Milk Bubbly Milk Chocolate Bar,230,40g,https://assets.indolj.io/upload/1750128171-Cadbury Dairy Milk bubbly milk Chocolate bar 40g.webp?q=10
Cadbury Dairy Milk Pouch ,800,144g,https://assets.indolj.io/upload/1750128161-Cadbury Dairy Milk Pouch 144g.webp?q=10
Cadbury Dairy Milk Bubbly Chocolate Pouch ,800,162g,https://assets.indolj.io/upload/1750128152-Cadbury Dairy Milk Bubbly Chocolate Pouch 162g.webp?q=10
Cadbury Dairy Milk Fruit & Nut Bar,270,38g,https://assets.indolj.io/upload/1750127754-Cadbury Dairy Milk Fruit Nut Bar 38g.jpg?q=10
Cadbury Dairy Milk Chocolate Bar,150,36g,https://assets.indolj.io/upload/1750127665-Cadbury Dairy Milk Chocolate Bar 36g.jpg?q=10
Nestle Kitkat White,2450,8x20.7g 165.6g,https://assets.indolj.io/upload/1761912669-Nestle Kitkat White 8x20.7g 165.6g.jpg?q=10
Cadbury Dairy Milk Oreo Bar ,250,38g,https://assets.indolj.io/upload/1763033687-Dairy Milk Oreo 95g.jfif?q=10
Nestle Kitkat Dark,2450,8x20.7g 165.6g,https://assets.indolj.io/upload/1761912745-Nestle Kitkat Dark 8x20.7g 165.6g.jpg?q=10
Cadbury Dairy Milk Oreo Mini Pouch ,1000,188.5g,https://assets.indolj.io/upload/1750128144-Cadbury Dairy Milk Oreo Mini Pouch 188.5g.webp?q=10
Nestle Milky Bar ,250,12g,https://assets.indolj.io/upload/1732372883-Nestle Milky Bar.jpg?q=10
Nestle Kitkat Caramel,2450,8x20.7g 165.6g,https://assets.indolj.io/upload/1761912812-Nestle Kitkat Caramel 8x20.7g 165.6g.jpg?q=10
Nestle Lion Chocolate Bar 2 Pack ,690,60g,https://assets.indolj.io/upload/1732373339-Nestle Lion Chocolate Bar 2pack 60g.jpeg?q=10
Nestle Kitkat Cookies&Cream ,2450,8x20.7g,https://assets.indolj.io/upload/1761912972-Nestle-Kitkat-Cookies-Cream-8x20-7g.jpg?q=10
Nestle Kitkat Nescafe Mocha ,2450,8x20.7g,https://assets.indolj.io/upload/1761913015-Nestle Kitkat Nescafe Mocha 8x20.7g.jpg?q=10
Kitkat 2F 9Pak ,2450,186gm,https://assets.indolj.io/upload/1761913069-Kitkat 2F 9Pak 186gm.jpg?q=10
Galaxy Salted Caramel Chocolate Bar ,670,40g,https://assets.indolj.io/upload/1750128136-Galaxy Salted Caramel Chocolate bar 40g.avif?q=10
Kitkat Chunky Pouch 4 pack ,1300,128g,https://assets.indolj.io/upload/1761913121-Kitkat Chunky Pouch 4 pack 128g.jpg?q=10
Lindt Exc Creamy,2500,100g,https://assets.indolj.io/upload/1761913211-Lindt Exc Creamy 100g.jpg?q=10
Galaxy Smooth Milk Chocolate Bar ,670,36g,https://assets.indolj.io/upload/1750128047-Galaxy Smooth Milk Chocolate bar 36g.webp?q=10
Hershyes Pretzels Cookies Cream Pouch ,3050,170g,https://assets.indolj.io/upload/1772523050-HershyesPretzelsCookiesCreamPouch170g.jfif?q=10
Lindt Exc Caramelised Hazelnut ,2500,100g,https://assets.indolj.io/upload/1761913255-Lindt Exc Caramelised Hazelnut 100g.jpg?q=10
Hersheys Creamy Milk Chocolate With Whole Almond ,640,40g,https://assets.indolj.io/upload/placholde-general2.png?q=10
Hershyes Pretzels Milk&Dark Pouch ,3050,170g,https://assets.indolj.io/upload/1772523090-HershyesPretzelsMilk.jfif?q=10
Reeses Pretzels Bretzels ,3050,170g,https://assets.indolj.io/upload/1772523160-ReesesPretzelsBretzels170g.jfif?q=10
 Lindt Excellence 70% Cocoa Intense Dark,2500,100g,https://assets.indolj.io/upload/1761913379-Lindt Excellence 70� Cocoa Intense Dark 100g.jpg?q=10
Reeses White Blanc Peanut Butter Pouch ,3850,165g,https://assets.indolj.io/upload/1772523178-ReesesWhiteBlancPeanutButterPouch165g.jfif?q=10
Lindt Exc Mint ,2500,100g,https://assets.indolj.io/upload/1761913508-Lindt-Exc-Mint-100g.jpg?q=10
Reeses Peanut Butter With Caramel pouch ,3850,170g,https://assets.indolj.io/upload/1772523196-ReesesPeanutButterWithCaramelpouch170g.jfif?q=10
Lindt Lindor Tiramisu ,2250,100g,https://assets.indolj.io/upload/1761913570-Lindt Lindor Tiramisu 100g.jpg?q=10
Reeses White Blanc Miniatures Pouch ,3850,185g,https://assets.indolj.io/upload/1772523227-ReesesWhiteBlancPeanutButterPouch165g.jfif?q=10
Lindt Extra Creamy Salted caramel Milk Chocolate,2250,80G,https://assets.indolj.io/upload/1761913648-Lindt Extra Creamy Salted caramel Milk Chocolate 80.jpg?q=10
Twix Top 21g,470,,https://assets.indolj.io/upload/1771313474-Twix Top 21g.jfif?q=10
Kernelpop Hazelnut Wafer Roll ,230,80g,https://assets.indolj.io/upload/1772523263-KernelpopHazelnutWaferRoll80g.jfif?q=10
Lindt Extra Creamy Hazelnut Milk Chocolate,2250,80G,https://assets.indolj.io/upload/1761913831-Lindt Extra Creamy Hazelnut Milk Chocolate 80G.jpg?q=10
Tim Hortons Boston cream Granola Bar ,590,30g,https://assets.indolj.io/upload/1771313502-Tim Hortons Boston cream Granola Bar 30g.jfif?q=10
Kernelpop Strawberry Wafer Roll ,230,80g,https://assets.indolj.io/upload/1772523293-KernelpopStrawberryWaferRoll80g.jfif?q=10
Lindt Extra Creamy Milk Chocolate,2250,80G,https://assets.indolj.io/upload/1761913778-Lindt Extra Creamy Milk Chocolate 80G.jpg?q=10
Lindt Swiss Classic Whole Almond Chocolate ,2250,100g,https://assets.indolj.io/upload/1750128026-Lindt Swiss Classic Whole Almond Chocolate 100g.webp?q=10
Tim Hortons Double chocolate Granola Bar ,590,30g,https://assets.indolj.io/upload/1771313623-Tim Hortons Double chococlate Granola Bar 30g.jfif?q=10
Nestle Kitkat Chunky Cookies Crumble ,650,38gm,https://assets.indolj.io/upload/1771873039-Chocolate.jfif?q=10
Kernelpop Choco Banana Wafer Roll ,230,80g,https://assets.indolj.io/upload/1772523326-KernelpopChocoBananaWaferRoll80g.jfif?q=10
Dairy Milk,430,90g,https://assets.indolj.io/upload/1761914033-DairyMilk 90g.jpg?q=10
Lindt Swiss Classic Raisins Roasted hazelnut & Almond Chocolate ,2250,100g,https://assets.indolj.io/upload/1750128013-Lindt Swiss Classic Raisins Roasted hazelnut Almond Chocolate 100g?q=10
Tim Hortons Cafe Mocha Granola Bar ,590,30g,https://assets.indolj.io/upload/1771313646-Tim Hortons Cafe Mocha Granola Bar 30g.jfif?q=10
Nestle Kitkat Chunky ,650,38gm,https://assets.indolj.io/upload/1771873074-NestleKitkatChunky38gm.png?q=10
 Dairy Milk Hazelnut,1290,135G,https://assets.indolj.io/upload/1761914123-Dairy Milk Hazulnut 165g.jpg?q=10
Lindt Exc Dark 70% ,1190,35g,https://assets.indolj.io/upload/1771313835-Lindt Exc Dark 70 35g.jfif?q=10
Lindt Leche Milk Choco Bar ,2250,100g,https://assets.indolj.io/upload/1771873116-LindtLecheMilkChocoBar100g.jfif?q=10
Lindt Swiss Classic Roasted Almond Chocolate ,2250,100g,https://assets.indolj.io/upload/1750127990-Lindt Swiss Classic Roasted Almond Chocolate 100g.webp?q=10
Lindt Exc 78% ,2500,100gm,https://assets.indolj.io/upload/1771313902-Lindt Exc 78 100gm.jfif?q=10
Lindt Hezalnut Choco Bar ,2250,100g,https://assets.indolj.io/upload/1771873170-LindtHezalnutChocoBar100g.jfif?q=10
M&M Crispy Pouch ,540,36g,https://assets.indolj.io/upload/1732512969-Crispy.png?q=10
Reeses Peanut Butter Thins Minces Pouch ,2550,87g,https://assets.indolj.io/upload/1771313945-Reeses Peanut Butter Thins Minces Pouch 87g.jfif?q=10
Lindt Caramelo Choco Bar ,2250,100g,https://assets.indolj.io/upload/1771873228-LindtCarameloChocoBar100g.jfif?q=10
Lindt Swiss Classic Roasted hazelnuts Chocolate ,2250,100g,https://assets.indolj.io/upload/1750127983-Lindt Swiss Classic Roasted hazelnuts Chocolate 100g.webp?q=10
After Eight ,3250,200g,https://assets.indolj.io/upload/1771313979-After Eight 200g.jfif?q=10
Lindt Leche Original Milk Choco Bar ,2250,100g,https://assets.indolj.io/upload/1771873284-LindtLecheOriginalMilkChocoBar100g.jfif?q=10
Maltesers Pouch ,750,37g,https://assets.indolj.io/upload/1732513067-Maltesers Pouch.jpg?q=10
Lindt Excellence fusion 75% & White Blanc ,2500,100g,https://assets.indolj.io/upload/1771314049-Lindt Excellence fusion 75 White Blanc 100g.jfif?q=10
 Cadbury DairyMilk Fruit&Nut ,2540,180g,https://assets.indolj.io/upload/1771873357-CadburyDairyMilkFruitNut180g.jfif?q=10
M&M Chocolate Pouch ,460,45g,https://assets.indolj.io/upload/1732513143-Chocolate Pouch.jpg?q=10
Lindt Lindor Assorted Balls ,1500,36g,https://assets.indolj.io/upload/1771314083-Lindt Lindor Assorted Balls 36g.jfif?q=10
Cadbury DairyMilk Caramel ,2540,180g,https://assets.indolj.io/upload/1771873422-CadburyDairyMilkCaramel180g.jfif?q=10
 Dairy Milk,1290,135G,https://assets.indolj.io/upload/1761914224-Dairy Milk 165g.jpg?q=10
Lindt Swiss Classic Swiss Dark Chocolate ,2250,100g,https://assets.indolj.io/upload/1750127973-Lindt Swiss Classic Swiss Dark Chocolate 100g.webp?q=10
Lindt Lindor Milk Balls ,1500,36g,https://assets.indolj.io/upload/1771314128-Lindt Lindor Milk Balls 36g.jfif?q=10
 Cadbury DairyMilk Classic ,2540,180g,https://assets.indolj.io/upload/1771874046-CadburyDairyMilkClassic180g.jfif?q=10
Galaxy Ripple Chocolate Bar ,590,30g,https://assets.indolj.io/upload/1732372399-Galaxy Ripple Chocolate Bar.jpg?q=10
Cadbury Dairy Milk Sticky Toffee Pouch ,3400,136g,https://assets.indolj.io/upload/1771314192-Cadbury Dairy Milk Sticky Toffee Pouch 136g.jfif?q=10
Galaxy Smooth Dark Chocolate Bar ,670,40g,https://assets.indolj.io/upload/1732602647-Galaxy Bar.jpg?q=10
Cadbury Dairy Milk Pistachio Crunch Pouch ,3400,145g,https://assets.indolj.io/upload/1771314212-Cadbury Dairy Milk Pistachio Crunch Pouch 145g.jfif?q=10
Snickers Chocolate Bar ,470,50g,https://assets.indolj.io/upload/1732372696-Snickers Chocolate Bar.jpg?q=10
Cadbury Dairy Milk Nutty Cream Pouch ,3400,136g,https://assets.indolj.io/upload/1771314242-Cadbury Dairy Milk Nutty Cream Pouch 136g.jfif?q=10
Dairy Milk Roasted Almond ,1290,135G,https://assets.indolj.io/upload/1761914352-Dairy Milk RoastedAlmond 165g.jpg?q=10
Kitkat Mini Dark Pouch 12P ,3400,162g,https://assets.indolj.io/upload/1771314287-Kitkat Mini Dark Pouch 12P 162g.jfif?q=10
Galaxy Milk ,670,42gm,https://assets.indolj.io/upload/1763034220-Galaxy White 38g.jfif?q=10
Bounty Chocolate Bar ,470,57g,https://assets.indolj.io/upload/1732372738-Bounty Chocolate Bar.jpg?q=10
Daim Pouch ,2450,200g,https://assets.indolj.io/upload/1771314354-Daim Pouch 200g.jfif?q=10
Galaxy Flutes,290,22g,https://assets.indolj.io/upload/1761914452-Galaxy Flutes 22g.jpg?q=10
CandyLand Magic Minis Pouch ,900,332g,https://assets.indolj.io/upload/1771314402-CandyLand Magic Minis Pouch 332g.jfif?q=10
Snickers Butter Scotch Bar,300,22g,https://assets.indolj.io/upload/1761914502-Snickers ButterScotch Bar 22g.jpg?q=10
Twix Chocolate Bar ,410,50g,https://assets.indolj.io/upload/1732372784-Twix Chocolate Bar.jpg?q=10
Bournville Clasic Orange ,1750,100g,https://assets.indolj.io/upload/1771314445-Bournville Clasic Orange 100g.jfif?q=10
Reeses White ,690,39g,https://assets.indolj.io/upload/1761914840-Resses White 39g.jpg?q=10
Toblerone Crunchy Almonds ,1200,100g,https://assets.indolj.io/upload/1771314517-Toblerone Crunchy Almonds 100g.jfif?q=10
Kitkat Dark 4Finger ,630,36g,https://assets.indolj.io/upload/1771314578-Kitkat Dark 4Finger 36g.jfif?q=10
Reeses Big Cup ,1190,79g,https://assets.indolj.io/upload/1761914933-Reeses Big Cup 79g.jpg?q=10
Mars Chocolate Bar ,490,51g,https://assets.indolj.io/upload/1732372836-Mars Chocolate Bar.jpg?q=10
Kitkat 4Finger White ,590,41g,https://assets.indolj.io/upload/1771314637-Kitkat 4Finger White 41g.jfif?q=10
Torras Zero sugar White & Strawberries chocolate ,1240,75g,https://assets.indolj.io/upload/1761915204-Torras Zero suger White Strawberries chocolate 75g.jpg?q=10
Torras Zero sugar Milk & Almond chocolate,1240,75g,https://assets.indolj.io/upload/1761915597-Torras Zero suger Milk Almond chocolate 75g.jpg?q=10
 Smarties Tube 3Pack ,1200,120g,https://assets.indolj.io/upload/1771314690-Smarties Tube 3Pack 120g.jfif?q=10
Lindt Lindor White Bar ,2250,100g,https://assets.indolj.io/upload/1750127963-Lindt Lindor White Bar 100g.webp?q=10
KitKat Caramel Bar ,590,41g,https://assets.indolj.io/upload/1771314744-KitKat Caramel Bar 41g.jfif?q=10
Maltesers Friends Box ,2250,73g,https://assets.indolj.io/upload/1771314777-Maltesers Friends Box 73g.jfif?q=10
Lindt Lindor Hazelnut Bar ,2250,100g,https://assets.indolj.io/upload/1750127953-Lindt Lindor Hazelnut Bar 100g.webp?q=10
Lindt Lindor Salted Caramel Bar,2250,100g,https://assets.indolj.io/upload/1750127945-Lindt Lindor salted caramel Bar 100g.webp?q=10
Alpenlible Smoth candys Pouch caramel 125g,430,,https://assets.indolj.io/upload/1781664406-AlpenlibleSmothcandysPouchcaramel125g.jfif?q=10
Lindt Excellence Orange Intense Dark Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1750127935-Lindt Excellence Orange Intense Dark Chocolate Bar 100g.webp?q=10
Torras Zero sugar 85% dark chocolate ,1240,75g,https://assets.indolj.io/upload/1761916477-Torras Zero suger 85drak chocolate 75g.jpg?q=10
Lindt Excellence Chilli Intense Dark Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1750127924-Lindt Excellence Chilli Intense Dark Chocolate Bar 100g.webp?q=10
Torras Zero sugar 95% dark chocolate,1240,75g,https://assets.indolj.io/upload/1761916560-Torras Zero suger 95dark chocolate 75g.jpg?q=10
Torras Zero sugar Negro Dark chocolate ,1240,75g,https://assets.indolj.io/upload/1761916627-Torras Zero suger Negro Dark chocolate 75g.jpg?q=10
Torras Zero sugar Dark & Apple chocolate ,1240,75g,https://assets.indolj.io/upload/1761916687-Torras Zero suger Dark  Apple chocolate 75g.jpg?q=10
Kinder Bueno Milk Chocolate ,590,43g,https://assets.indolj.io/upload/1732513512-Kinder Bueno Milk Chocolate.jpg?q=10
Torras Zero sugar Dark & banana chocolate,1240,75g,https://assets.indolj.io/upload/1761916755-Torras Zero suger Dark  banana chocolate 75g.jpg?q=10
Kinder Bueno White Chocolate ,670,39gm,https://assets.indolj.io/upload/1732602483-Kinder.jpg?q=10
Alpenlible Smoth candys Pouch Strawberry 125g,430,,https://assets.indolj.io/upload/1781664492-AlpenlibleSmothcandysPouchStrawberry125g.jfif?q=10
Torras Zero sugar Dark & Coffee chocolate,1240,75g,https://assets.indolj.io/upload/1761916936-Torras-Zero-suger-Dark--Coffee-chocolate-75g.jpg?q=10
Lindt Excellence 90% Intense Dark Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1750127915-Lindt Excellence 90 Intense Dark Chocolate Bar 100g.webp?q=10
Torras Zero sugar Dark Mint chocolate,1240,75g,https://assets.indolj.io/upload/1761916982-Torras Zero suger Dark Mint chocolate 75g.jpg?q=10
Kinder Cards,550,20g,https://assets.indolj.io/upload/1732513808-Kinder Cards Chocolate.jpeg?q=10
Torras Zero suger white chocolate ,1240,75g,https://assets.indolj.io/upload/1761917037-Torras Zero suger white chocolate 75g.jpg?q=10
Lindt Excellence 85% Intense Dark Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1750127879-Lindt Excellence 85Intense Dark Chocolate Bar 100g.webp?q=10
Torras Zero sugar White & Kiwi chocolate,1240,75g,https://assets.indolj.io/upload/1761917379-Torras Zero suger White  Kiwi chocolate 75g.jpg?q=10
Torras Zero sugar Dark & Mango chocolate ,1240,75g,https://assets.indolj.io/upload/1761917216-Torras Zero suger Dark  Mango chocolate 75g.jpg?q=10
Kinder Chocolate Bars ,740,T4,https://assets.indolj.io/upload/1732513676-Kinder Chocolate 8bars.jpg?q=10
Torras Zero sugar milk & Hazelnut chocolate ,1240,75g,https://assets.indolj.io/upload/1761917444-Torras Zero suger milk Hazelnut chocolate 75g.jpg?q=10
Ferrero Rocher T3 ,890,,https://assets.indolj.io/upload/1763034130-Ferrero Raffaello 150g.jfif?q=10
Godiva Dubble Choco Bar 35gm,950,,https://assets.indolj.io/upload/1781664536-GodivaDubbleChocoBar35gm.jfif?q=10
Torras Zero sugar Dark & Coca Nibes ,1240,75g,https://assets.indolj.io/upload/1761917528-Torras Zero suger Dark  coca Nibes 75g.jpg?q=10
Kinder Joy girl ,630,,https://assets.indolj.io/upload/1732373260-Kinder Joy With Surprise For Girl 20g.jpeg?q=10
Torras Zero sugar 72% Dark chocolate ,1240,75g,https://assets.indolj.io/upload/1761917630-Torras Zero suger 72Dark chocolate 75g.jpg?q=10
PHD Smart Peanut butter Bar 64g,1850,,https://assets.indolj.io/upload/1776950164-Chocolates.png?q=10
Kitkat Miniatures Milk Chocolate Pouch ,1360,84g,https://assets.indolj.io/upload/1761917712-Kitkat Miniatures Milk Chocolate Pouch 84g.jpg?q=10
Kinder Joy Boy ,630,,https://assets.indolj.io/upload/1732373299-Kinder-Joy-With-Surprise-For-Boy-20g.jpg?q=10
PHD Smart Dark C&C Bar 64g,1850,,https://assets.indolj.io/upload/1776949133-PHDSmartDarkCCBar64g.jfif?q=10
Godiva Cappuccino Creamy Choco Bar 35gm,950,,https://assets.indolj.io/upload/1781664599-GodivaCappuccinoCreamyChocoBar35gm.jfif?q=10
PHD Smart Salted caramel Bar 64g,1850,,https://assets.indolj.io/upload/1776949233-PHDSmartSaltedcaramelBar64g.jfif?q=10
PHD Smart Dark Raspberry Bar 64g,1850,,https://assets.indolj.io/upload/1776949189-PHDSmartDarkRaspberryBar64g.jfif?q=10
Kitkat Miniatures Hazelnut Chocolate ,1360,,https://assets.indolj.io/upload/1761917775-Kitkat Miniatures Hazelnut Chocolate 64g.jpg?q=10
Daim Choco Pack of 3 84g,1650,,https://assets.indolj.io/upload/1776948956-DaimChocoPackof384g.jfif?q=10
Kitkat Miniatures Caramel Chocolate Pouch ,1360,84g,https://assets.indolj.io/upload/1761917868-Kitkat Miniatures Caramel Chocolate Pouch 84g.jpg?q=10
