Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src
kitkat-2-finger-cookies-cream,kitkat 2 finger Cookies & cream,,Candyshop,General,"General, Imported",TRUE,Title,Default Title,0,shopify,100,deny,manual,210,TRUE,TRUE,https://assets.indolj.io/upload/1768309564-kitkat 2 finger Cookies  cream.jfif?q=10
reeses-2-peanut-butter-cups,Reeses 2 peanut Butter Cups,42g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,42,shopify,100,deny,manual,550,TRUE,TRUE,https://assets.indolj.io/upload/1732512433-KitKat Hazelnut Miniatures Pouch.jpeg?q=10
cadbury-dairy-milk-roast-almond-bar,Cadbury Dairy Milk Roast Almond Bar,38g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,38,shopify,100,deny,manual,230,TRUE,TRUE,https://assets.indolj.io/upload/1750128183-Cadbury Dairy Milk Roast Almond Bar 38g.webp?q=10
nestle-kitkat,Nestle Kitkat,8x20.7g 165.6g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,165,shopify,100,deny,manual,2450,TRUE,TRUE,https://assets.indolj.io/upload/1761910985-Nestle Kitkat 8x20.7g 165.6g.jpg?q=10
cadbury-dairy-milk-bubbly-milk-chocolate-bar,Cadbury Dairy Milk Bubbly Milk Chocolate Bar,40g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,40,shopify,100,deny,manual,230,TRUE,TRUE,https://assets.indolj.io/upload/1750128171-Cadbury Dairy Milk bubbly milk Chocolate bar 40g.webp?q=10
cadbury-dairy-milk-pouch,Cadbury Dairy Milk Pouch,144g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,144,shopify,100,deny,manual,800,TRUE,TRUE,https://assets.indolj.io/upload/1750128161-Cadbury Dairy Milk Pouch 144g.webp?q=10
cadbury-dairy-milk-bubbly-chocolate-pouch,Cadbury Dairy Milk Bubbly Chocolate Pouch,162g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,162,shopify,100,deny,manual,800,TRUE,TRUE,https://assets.indolj.io/upload/1750128152-Cadbury Dairy Milk Bubbly Chocolate Pouch 162g.webp?q=10
cadbury-dairy-milk-fruit-nut-bar,Cadbury Dairy Milk Fruit & Nut Bar,38g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,38,shopify,100,deny,manual,270,TRUE,TRUE,https://assets.indolj.io/upload/1750127754-Cadbury Dairy Milk Fruit Nut Bar 38g.jpg?q=10
cadbury-dairy-milk-chocolate-bar,Cadbury Dairy Milk Chocolate Bar,36g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,36,shopify,100,deny,manual,150,TRUE,TRUE,https://assets.indolj.io/upload/1750127665-Cadbury Dairy Milk Chocolate Bar 36g.jpg?q=10
nestle-kitkat-white,Nestle Kitkat White,8x20.7g 165.6g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,165,shopify,100,deny,manual,2450,TRUE,TRUE,https://assets.indolj.io/upload/1761912669-Nestle Kitkat White 8x20.7g 165.6g.jpg?q=10
